2016-01-01:0000;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0100;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0200;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0300;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0400;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0500;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0600;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0700;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0800;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:0900;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1000;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1100;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1200;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1300;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1400;UUID_d5841ad7-2820-4062-b909-da244542a0a9;1
2016-01-01:1500;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:1600;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:1700;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:1800;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:1900;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:2000;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:2100;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:2200;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:2300;UUID_d5841ad7-2820-4062-b909-da244542a0a9;0
2016-01-01:0000;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0100;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0200;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0300;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0400;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0500;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0600;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0700;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0800;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:0900;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1000;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1100;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1200;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1300;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1400;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;1
2016-01-01:1500;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:1600;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:1700;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:1800;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:1900;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:2000;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:2100;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:2200;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:2300;UUID_abc0b686-331a-4d96-a3ac-6fbcae0afec4;0
2016-01-01:0000;UUID_24fdfab0-4102-4a20-babe-16e2b19229cc;0
